Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,04-14 Percentage,Total Enplanements,CY 14 Enplanements,CY 13 Enplanements,CY 12 Enplanements,CY 11 Enplanements,CY 10 Enplanements,CY 09 Boardings,CY 08 Boardings,CY2007 Enplanements,CY 2006 Enplanements,CY 05 Enplanements,CY 04 Enplanements
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,6%,"479,413,675","46,604,273","45,308,407","45,798,928",44414121,43130585,42280868,43761280,43236665,41352038,42402653,41123857
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,4%,"331,523,148","34,314,197",32425892,31326268,30528737,28857755,27439897,28861477,30113985,29357327,29372272,28925341
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,5%,"373,383,745","33,843,426",32317835,32171795,31892301,32171831,31135732,33683991,36521585,36825097,36720005,36100147
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,4%,"309,620,230","30,804,567",29038128,28022904,27518358,27100656,26663984,27219285,28482417,28627749,28079147,28063035
5,EA,NY,JFK,New York,John F Kennedy International,P,L,3%,"252,052,440","26,244,928",25036358,24520981,23664832,22934047,22710272,23620948,23401351,21071501,20260359,18586863
6,NM,CO,DEN,Denver,Denver International,P,L,3%,"264,655,008","26,000,591",25496885,25799841,25667499,25241962,24013669,24287939,24117623,22822111,20799886,20407002
7,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,3%,"206,971,826","22,770,783",21704626,21284236,20056568,19359003,18467908,18135827,17280328,16236592,16070133,15605822
8,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,2%,"192,860,091","21,537,725",21346601,20033816,19022535,18629181,17165376,17281425,16584780,14749568,14009608,12499476
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,3%,"225,778,000","20,620,248",19946179,19959651,19872617,18996738,19445952,21024443,22537950,22028521,21402676,19943025
10,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,3%,"217,138,271","20,344,867",19525109,19560870,19750306,18907171,18559647,19450576,20796173,20591909,20315544,19336099
11,SO,FL,MIA,Miami,Miami International,P,L,2%,"187,271,418","19,471,466",19420089,18987488,18342158,17017654,16187768,16377488,16194162,15664791,15092763,14515591
12,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,3%,"213,521,051","19,772,087",18952840,19039000,19306660,19528631,19290239,20030898,20767144,20479291,19032196,17322065
13,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,2%,"171,764,872","17,888,080",16690295,16121123,15971676,15406243,15273092,15839504,15419116,14703928,14359530,14092285
14,SO,FL,MCO,Orlando,Orlando International,P,L,2%,"185,534,654","17,278,608",16884524,17159427,17250415,17017491,16371016,17288480,17614679,16807534,16592133,15270347
15,EA,NJ,EWR,Newark,Newark Liberty International,P,L,2%,"188,261,162","17,773,405",17546506,17055993,16814092,16571754,16659441,17599578,18163652,17804107,16444959,15827675
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,2%,"182,135,432","16,972,678",16280835,15943878,15895653,15512487,15551206,16369324,16962563,17192410,17971771,17482627
17,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,2%,"151,042,031","15,507,561",14810153,14293695,14180730,13561814,12566797,12820489,13783297,13544552,13214923,12758020
18,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,2%,"180,234,816","15,775,941",15683523,15599879,15716865,15643890,15211402,16998174,17495135,17483468,17580363,17046176
19,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,2%,"164,782,270","14,792,339",14727945,14589337,14883180,14951254,15002961,15586852,15656653,15390848,15376569,13824332
20,EA,NY,LGA,New York,Laguardia,P,L,2%,"137,151,434","13,535,372",13372269,12818717,11989227,12001501,11084300,11567586,12529890,12925697,13014314,12312561
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,1%,"120,509,483","12,031,860",11538140,11445103,11332466,10829810,10258118,11020091,11079250,10204579,10729468,10040598
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,1%,"116,529,893","11,022,200",11132731,11186444,11067319,10848633,10338950,10215225,10487789,10297607,9829432,10103563
23,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,1%,"98,697,396","10,115,546",9838034,9462231,9053004,8736804,8490288,8704466,9038174,8973410,8623907,7661532
24,GL,IL,MDW,Chicago,Chicago Midway International,P,L,1%,"99,262,983","10,311,996",9915646,9436387,9134576,8518957,8253620,8021383,9132836,8915292,8383698,9238592
25,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,1%,"109,233,054","10,139,065",9668048,9579840,9701756,9910493,9903821,9993198,10560906,10289129,10601918,8884880
26,EA,VA,IAD,Dulles,Washington Dulles International,P,L,2%,"123,433,668","10,415,948",10570993,10816216,11044383,11276481,11132098,11348775,11789441,11045217,13032502,10961614
27,WP,CA,SAN,San Diego,San Diego International,P,L,1%,"95,883,246","9,333,152",8878772,8686621,8465683,8430509,8453854,9007617,9138116,8724442,8628648,8135832
28,WP,HI,HNL,Honolulu,Honolulu International,P,L,1%,"102,951,695","9,463,000",9466995,9225848,8689699,8740077,8739389,9013440,10393929,9855838,9784404,9579076
29,SO,FL,TPA,Tampa,Tampa International,P,L,1%,"94,691,996","8,531,561",8267752,8218487,8174194,8137222,8263294,8871917,9306036,9187865,9297643,8436025
30,NM,OR,PDX,Portland,Portland International,P,L,1%,"76,801,970","7,878,760",7452603,7142620,6808486,6582227,6430119,7090526,7281057,6956712,6798976,6379884
31,SW,TX,DAL,Dallas,Dallas Love Field,P,M,1%,"41,109,779","4,522,341",4023779,3902628,3852886,3783407,3675861,4021976,3988199,3443537,2949256,2945909
32,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,1%,"70,955,057","6,108,758",6216104,6208750,6159090,6044760,6084070,6740468,7130801,7037400,6847228,6377628
33,SW,TX,HOU,Houston,William P Hobby,P,M,1%,"49,944,261","5,800,726",5377050,5043737,4753554,4357835,4087524,4246907,4239375,4115021,3961642,3960890
34,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,1%,"46,880,122","5,219,982",4900959,4606252,4436661,4201136,4027100,4268536,4181956,3945020,3645956,3446564
35,SO,TN,BNA,Nashville,Nashville International,P,M,1%,"51,913,756","5,396,958",5050989,4797102,4673047,4432527,4385780,4648000,4887925,4779474,4563251,4298703
36,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,1%,"62,403,265","5,069,257",4770716,4926683,4550526,4673417,4612631,5583748,7144127,7076936,7071534,6923690
37,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,1%,"45,642,645","4,870,569",4576539,4293624,4255411,4088889,3916746,3990374,3770246,3127963,3912884,4839400
38,CE,MO,MCI,Kansas City,Kansas City International,P,M,1%,"56,327,008","4,982,722",4836221,4866850,5011000,4946173,4894349,5386242,5833064,5466672,5063120,5040595
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,1%,"50,585,048","4,673,869",4482016,4490374,4462508,4465736,4435624,4792909,4979553,4706587,4723989,4371883
40,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,1%,"49,947,716","4,584,147",4540628,4381172,4247802,4278623,4311329,4464380,4948846,4777896,4791786,4621107
41,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,1%,"51,181,272","4,621,003",4315839,4077654,4108006,4056167,4103834,4780264,5255257,5283407,5309992,5269849
42,WP,CA,SMF,Sacramento,Sacramento International,P,M,1%,"51,709,643","4,384,616",4255145,4357899,4370895,4424279,4460600,4986771,5382463,5182641,5108364,4795970
43,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,1%,"50,387,422","4,187,888",4103197,4204478,3983130,4243475,4094662,4635798,5149177,5226471,5336690,5222456
44,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,1%,"41,045,346","3,948,006",3788870,3634152,3748366,3714157,3668279,3770681,3986928,3764223,3701665,3320019
45,SW,TX,SAT,San Antonio,San Antonio International,P,M,1%,"42,617,342","4,046,856",4005874,4036625,3992304,3916320,3791928,4018866,3911726,3915428,3604665,3376750
46,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,1%,"53,430,314","3,686,315",4375448,4346941,4401033,4591097,4704329,5387625,5571219,5447482,5529629,5389196
47,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,1%,"49,476,014","3,827,860",3812460,3892338,4070614,3996656,3956842,4292546,4875883,4946256,5198442,6606117
48,GL,IN,IND,Indianapolis,Indianapolis International,P,M,1%,"42,239,641","3,605,908",3535015,3586422,3670396,3728698,3732534,4061450,4097398,4008638,4221085,3992097
49,GL,OH,CMH,Columbus,Port Columbus International,P,M,0%,"35,588,509","3,115,501",3063822,3095575,3134379,3145962,3096515,3419513,3827349,3336994,3281452,3071447
50,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,1%,"41,556,406","3,228,607",3214811,3710384,4671976,4760170,3822542,3861333,3751345,3630098,3602536,3302604
51,WP,HI,OGG,Kahului,Kahului,P,M,0%,"30,962,947","3,019,338",2955304,2861278,2683933,2587214,2496145,2652335,3141449,3027106,2843845,2695000
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,0%,"34,311,014","2,926,242",2844507,2796359,2877158,2958416,3004076,3232009,3475345,3418310,3496936,3281656
53,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,1%,"65,615,935","2,875,844",2776377,2937850,3422466,3906826,5194214,6648600,7728069,7984074,11277068,10864547
54,NE,CT,BDL,Windsor Locks,Bradley International,P,M,0%,"32,873,102","2,913,380",2681181,2647610,2772315,2640155,2626873,3006362,3231374,3409938,3617453,3326461
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,0%,"30,536,298","2,589,198",2549070,2579023,2700514,2755719,2777041,2965973,3138015,2971953,2890298,2619494
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,0%,"26,391,224","2,381,826",2325030,2249717,2354987,2342310,2282637,2599313,2617964,2367390,2430081,2439969
57,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,0%,"27,968,869","2,378,469",2567594,2592630,2582597,2602968,2657467,2744501,2677183,2522123,2436952,2206385
58,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,0%,"31,764,593","2,354,184",2477783,2630574,2768435,2828420,2881798,3158971,3239096,3176299,3169861,3079172
59,WP,CA,ONT,Ontario,Ontario International,P,M,0%,"29,845,892","2,037,346",1970538,2142393,2271458,2380881,2416872,2998110,3473272,3404361,3458935,3291726
60,CE,NE,OMA,Omaha,Eppley Airfield,P,M,0%,"22,563,170","2,020,354",1975339,2018738,2047055,2097958,2083973,2136880,2162954,2075306,2052234,1892379
61,WP,CA,BUR,Burbank,Bob Hope,P,S,0%,"26,204,525","1,928,491",1918011,2027203,2144915,2239804,2294991,2647287,2950652,2836413,2761184,2455574
62,SO,TN,MEM,Memphis,Memphis International,P,S,1%,"49,147,019","1,800,268",2301003,3359668,4344213,4930935,5054191,5376818,5546321,5508235,5630305,5295062
63,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,0%,"19,511,448","1,861,272",1788400,1801650,1738438,1710993,1662631,1838709,1840760,1799977,1773522,1695096
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,0%,"24,494,201","1,764,828",1884830,1809322,1920699,1951566,2153168,2342593,2499677,2588992,2846002,2732524
65,EA,VA,RIC,Highland Springs,Richmond International,P,S,0%,"17,610,695","1,671,096",1597913,1582565,1571155,1651131,1649284,1733668,1805992,1644419,1452066,1251406
66,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,0%,"12,865,831","1,539,326",1441415,1283970,1247459,1013418,1095038,1174667,1145129,944143,1072182,909084
67,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,0%,"22,507,594","1,611,572",1671926,1685333,1821051,1857488,1828818,2150816,2450451,2441502,2510458,2478179
68,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,0%,"19,047,454","1,634,983",1668667,1642790,1650707,1651037,1622804,1845317,1912495,1836260,1862017,1720377
69,WP,AZ,TUS,Tucson,Tucson International,P,S,0%,"20,551,271","1,597,247",1569932,1710649,1779679,1844228,1795534,2070573,2178748,2090514,2050377,1863790
70,NM,WA,GEG,Spokane,Spokane International,P,S,0%,"16,946,597","1,445,572",1417731,1456279,1487913,1545115,1494490,1691345,1710425,1605069,1583737,1508921
71,EA,VA,ORF,Norfolk,Norfolk International,P,S,0%,"19,036,244","1,488,114",1560754,1651440,1606695,1663294,1701246,1786594,1867307,1862325,1953003,1895472
72,WP,HI,LIH,Lihue,Lihue,P,S,0%,"14,131,953","1,340,014",1315141,1308549,1203525,1175203,1228150,1287696,1450512,1331432,1257848,1233883
73,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,0%,"16,155,244","1,378,352",1313741,1307505,1395554,1406750,1400343,1574210,1689046,1656677,1581338,1451728
74,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,0%,"14,917,687","1,403,559",1376641,1367091,1295389,1276343,1279968,1332667,1519345,1450717,1355639,1260328
75,WP,GU,GUM,Tamuning,Guam International,P,S,0%,"15,416,759","1,436,726",1562165,1477926,1369586,1411024,1250479,1314725,1420257,1416354,1420751,1336766
76,SW,TX,ELP,El Paso,El Paso International,P,S,0%,"16,799,798","1,395,363",1363102,1442102,1458965,1509093,1495879,1613946,1669792,1658102,1638242,1555212
77,SW,OK,TUL,Tulsa,Tulsa International,P,S,0%,"16,018,371","1,371,613",1323377,1324202,1346122,1382895,1416249,1606622,1621017,1599853,1563622,1462799
78,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,0%,"16,277,941","1,299,214",1334177,1412483,1429282,1443215,1442155,1623506,1648476,1551339,1595443,1498651
79,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,0%,"11,478,295","1,174,821",1123257,1063153,1126552,1089002,883677,902925,992539,1005586,1041967,1074816
80,EA,NY,ALB,Albany,Albany International,P,S,0%,"14,701,965","1,210,825",1196532,1222354,1216626,1250282,1302814,1365854,1423754,1443360,1533301,1536263
81,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,0%,"15,807,260","1,368,923",1438756,1554846,1512212,1451404,1401903,1413251,1415280,1343151,1481659,1425875
82,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,0%,"9,612,312","1,064,133",971522,873069,768938,553892,836223,927188,985597,915135,789795,926820
83,EA,NY,ROC,Rochester,Greater Rochester International,P,S,0%,"14,327,991","1,173,933",1209245,1202903,1190967,1263965,1273783,1349694,1431412,1417039,1450181,1364869
84,CE,IA,DSM,Des Moines,Des Moines International,P,S,0%,"10,651,692","1,141,172",1078496,1018188,932828,898840,853596,919990,963231,947393,922099,975859
85,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,0%,"14,226,543","1,120,842",1244841,1289758,1247333,1248787,1240848,1454618,1412758,1303779,1220130,1442849
86,NE,NH,MHT,Manchester,Manchester,P,S,0%,"17,555,215","1,032,964",1190082,1210189,1342308,1391797,1578349,1834875,1920911,1931563,2149035,1973142
87,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,0%,"11,742,430","987,169",991551,974293,982709,1024505,1016571,1105143,1179113,1128483,1222657,1130236
88,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,0%,"9,795,416","932,416",798376,789663,785251,798194,799066,959037,992625,950904,1032676,957208
89,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,0%,"12,508,179","1,005,251",1055293,1111442,1063673,1097403,1108603,1181846,1245098,1236223,1265098,1138249
90,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,0%,"8,853,071","945,477",917088,936288,880994,642512,625728,699805,774450,756490,893397,780842
91,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,0%,"8,701,130","953,607",875699,867720,759510,751068,739349,772906,806679,771867,715627,687098
92,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,0%,"8,467,290","858,288",823294,722775,848230,782737,704771,705430,804742,692364,776051,748608
93,NE,ME,PWM,Portland,Portland International Jetport,P,S,0%,"8,857,638","837,820",836942,799136,833005,851566,871291,876102,819995,710142,734295,687344
94,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,0%,"9,211,842","845,913",832588,846278,841237,804917,811379,839266,888995,815130,904004,782135
95,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,0%,"11,080,019","851,157",853532,889135,894290,855073,862679,1052258,1089436,1082846,1310034,1339579
96,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,0%,"8,681,051","833,634",825702,799053,741365,766953,747941,728075,783937,803503,804519,846369
97,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,0%,"4,699,375","663,810",514358,436030,417223,384394,381029,363725,372283,200972,298647,666904
98,SO,FL,PNS,Pensacola,Pensacola International,P,S,0%,"8,379,669","758,612",744259,740852,750190,729748,694786,771917,832158,807069,815157,734921
99,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,0%,"8,159,473","757,695",736090,735270,740675,751601,730374,780756,769124,710380,718457,729051
100,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,0%,"8,341,488","771,155",851809,910712,814243,771107,715367,722337,691603,710337,711540,671278
101,EA,NY,HPN,White Plains,Westchester County,P,S,0%,"8,515,274","756,189",764002,893184,972385,999831,964927,904482,823478,511559,462256,462981
102,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,0%,"6,674,504","687,172",645401,649691,596832,606137,589163,593589,599509,574402,575507,557101
103,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,0%,"6,773,878","710,353",684849,640350,615320,569879,580203,600489,636032,623997,574012,538394
104,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,0%,"3,606,739","669,807",725048,744685,521437,417862,289770,190281,39513,3790,1655,2891
105,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,0%,"6,085,443","619,157",558141,546845,538850,549195,530087,547871,574056,567341,561045,492855
106,WP,HI,ITO,Hilo,Hilo International,P,S,0%,"7,210,487","626,950",640411,641904,605251,611782,651212,648263,803627,695801,637753,647533
107,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,0%,"7,300,978","598,219",594970,637264,657157,670992,675969,753126,782497,712379,656007,562398
108,SO,KY,LEX,Lexington,Blue Grass,P,S,0%,"5,834,029","595,083",539238,535541,533952,539492,450464,496384,520760,504787,536000,582328
109,EA,NY,ISP,Islip,Long Island MacArthur,P,S,0%,"9,942,704","646,171",662612,667603,781396,858741,929902,1048768,1167515,1138061,1055832,986103
110,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,0%,"9,843,280","624,317",657962,836998,828516,877367,931993,997348,1040879,997763,1025481,1024656
111,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,0%,"6,202,738","594,346",553695,663142,668930,669470,525121,527873,566076,458058,467148,508879
112,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,0%,"7,087,208","644,048",657650,657074,655294,664968,615625,635627,643285,577559,647468,688610
113,NE,VT,BTV,Burlington,Burlington International,P,S,0%,"7,252,349","602,932",606503,615026,636019,640790,700592,747559,703186,681678,690641,627423
114,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,0%,"5,473,022","570,571",520360,491806,431874,462670,474508,499600,530417,516095,501351,473770
115,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,0%,"6,140,373","498,151",487180,487435,487474,486879,521165,565938,620918,633835,725573,625825
116,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,0%,"6,387,124","523,248",505541,578993,614601,606127,572767,612690,607205,561395,619499,585058
117,SW,TX,MAF,Midland,Midland International,P,S,0%,"5,210,346","547,355",506726,497193,474423,445043,423801,488928,491847,473986,446161,414883
118,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,0%,"4,113,693","482,683",442075,434038,397870,364521,343754,349550,335642,318115,336516,308929
119,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,0%,"7,100,851","537,821",595951,611592,615622,618373,635116,678976,717576,727658,722219,639947
120,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,0%,"4,357,458","490,448",481716,453007,423288,355939,332709,367874,392920,369760,356459,333338
121,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,0%,"4,837,483","459,769",457372,450436,438188,435392,424496,456947,449076,424816,420597,420394
122,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,S,0%,"5,054,667","495,150",448177,411735,382386,433577,384882,441013,433090,484077,555647,584933
123,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,0%,"4,312,334","420,017",368752,364689,349091,381172,398025,380419,433232,428249,434362,354326
124,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,0%,"4,192,113","440,198",434095,407124,393504,369397,340662,358819,379089,360877,359187,349161
125,NM,WA,BLI,Bellingham,Bellingham International,P,S,0%,"3,791,431","543,346",596142,577028,515402,398368,326850,277281,238452,135129,101228,82205
126,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,0%,"5,719,707","451,238",454408,475767,503580,508858,534818,562241,577587,564799,552023,534388
127,GL,ND,FAR,Fargo,Hector International,P,S,0%,"3,777,629","456,372",403919,369969,346459,365963,352041,326941,300848,307947,285298,261872
128,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,0%,"1,939,099","394,570",391763,422750,417902,312114,,,,,,
129,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,0%,"967,576","336,905",171121,99897,147698,87041,64650,53073,7031,113,15,32
130,NM,MT,BIL,Billings,Billings Logan International,P,S,0%,"4,493,981","420,113",387773,440277,407375,388329,397073,422494,427389,403645,404427,395086
131,GL,MI,FNT,Flint,Bishop International,P,S,0%,"5,433,482","421,129",398132,412326,473113,497649,489388,526492,532621,532680,553468,596484
132,AL,AK,JNU,Juneau,Juneau International,P,S,0%,"4,073,214","375,828",359291,353048,355499,344057,337038,378741,403825,394929,393453,377505
133,SO,TN,CHA,Chattanooga,Lovell Field,P,N,0%,"3,226,295","356,077",312873,313861,304399,292830,311399,300796,301803,246893,249396,235968
134,SO,NC,AVL,Asheville,Asheville Regional,P,N,0%,"3,514,589","382,586",342400,318395,361617,371226,293789,282306,292053,289550,315624,265043
135,SW,TX,MFE,McAllen,McAllen Miller International,P,N,0%,"3,923,985","385,631",335483,327615,332706,344302,361778,372640,413693,396157,352216,301764
136,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,0%,"595,080","377,961",147826,6459,3414,853,561,974,24634,10048,9255,13095
137,SO,NC,ILM,Wilmington,Wilmington International,P,N,0%,"4,096,237","378,203",397274,392155,395156,408058,400526,400993,392444,312600,339520,279308
138,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,N,0%,"4,121,624","360,542",353953,373542,434455,348979,374220,373808,381992,350484,388778,380871
139,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,0%,"3,275,593","323,563",306450,313638,301742,310824,287558,287688,311246,289083,286905,256896
140,GL,IL,MLI,Moline,Quad City International,P,N,0%,"4,788,660","372,526",384198,396460,412470,477086,461888,476532,481595,453554,430992,441359
141,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,0%,"4,624,252","380,153",400712,406318,396403,382687,347815,416568,482253,526998,515991,368354
142,SO,FL,EYW,Key West,Key West International,P,N,0%,"3,423,571","383,776",402842,370637,335603,287359,234322,231339,270781,294047,314075,298790
143,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,0%,"3,180,717","323,252",294968,280732,272796,273056,259315,282449,289210,268122,307682,329135
144,NM,MT,MSO,Missoula,Missoula International,P,N,0%,"3,188,063","334,948",298253,303886,292501,289875,281428,288071,285484,276170,271499,265948
145,NM,WA,PSC,Pasco,Tri-Cities,P,N,0%,"3,056,367","329,087",327419,329833,327008,312915,258546,242483,242788,226975,240767,218546
146,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,0%,"4,528,244","362,412",370508,389284,392815,394593,394569,453459,458228,446926,446395,419055
147,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,0%,"4,040,707","347,977",317667,313969,322903,339193,349383,388856,422391,429394,417022,391952
148,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,0%,"4,510,866","339,078",336129,331296,305686,325097,360441,399094,462233,492826,573723,585263
149,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,0%,"3,745,732","340,808",327814,336716,331924,318622,297894,294436,354624,388644,385920,368330
150,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,0%,"4,311,845","298,306",301969,350066,428332,414427,376091,392039,426687,397603,419122,507203
151,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,0%,"2,908,589","320,054",291147,286507,249898,249595,242142,278426,271366,240469,255578,223407
152,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,0%,"4,542,540","325,437",369597,394110,395350,461072,411978,487907,462416,403771,393803,437099
153,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,N,0%,"4,312,453","335,049",364360,370600,367328,382894,379777,413929,415399,434753,431079,417285
154,GL,IN,SBN,South Bend,South Bend International,P,N,0%,"3,763,187","311,158",328992,299592,305386,317096,318974,357168,398500,378909,349847,397565
155,NM,WY,JAC,Jackson,Jackson Hole,P,N,0%,"3,046,810","308,509",294752,274343,279065,288325,284397,305566,278459,274031,247116,212247
156,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,0%,"3,104,214","306,542",293843,290144,274166,246627,202417,282784,340328,262503,297565,307295
157,EA,VA,ROA,Roanoke,Roanoke-Blacksburg Regional/Woodrum Field,P,N,0%,"3,489,934","305,496",310295,315877,320961,316478,297588,315293,348634,326214,326202,306896
158,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,0%,"3,132,083","307,540",279897,276460,265104,237945,242919,283624,307312,306832,319960,304490
159,GL,WI,GRB,Green Bay,Green Bay-Austin Straubel International,P,N,0%,"4,043,682","302,568",293703,282973,352157,349733,348151,410348,440176,443866,419308,400699
160,NM,OR,RDM,Redmond,Roberts Field,P,N,0%,"2,408,056","255,654",236303,229736,230395,226400,221463,235192,236901,205930,180637,149445
161,SO,AL,MOB,Mobile,Mobile Regional,P,N,0%,"3,217,821","288,376",287661,277432,288461,277232,280491,286956,303512,296264,323209,308227
162,EA,VA,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,P,N,0%,"2,233,133","250,666",230699,230097,216957,197776,180462,169843,187078,185891,198133,185531
163,NE,ME,BGR,Bangor,Bangor International,P,N,0%,"4,035,959","317,200",315139,302610,391597,416328,388681,355508,346688,411352,433816,357040
164,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,0%,"2,304,305","263,478",260523,271740,267631,246587,198489,176097,154558,134716,156170,174316
165,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,0%,"2,802,195","266,623",256052,252592,254292,284126,266467,273151,237692,226323,244174,240703
166,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,0%,"2,183,774","248,316",238929,239018,197181,196285,184103,178005,182918,181032,174567,163420
167,SW,TX,HRL,Harlingen,Valley International,P,N,0%,"4,271,021","293,306",347829,375472,359166,373438,367269,417557,442838,431365,429396,433385
168,GL,WI,ATW,Appleton,Appleton International,P,N,0%,"2,931,948","249,656",246211,229248,242346,272471,271997,259340,288180,285123,299179,288197
